title,artist,subject,year,description,image_path,emotion,style,monologue
St Sebastian Reproving Diocletian,"VERONESE, Paolo",religious,1575,"Veronese painted the frescoes on the upper part of the nave of San Sebastiano between March and September 1558. The main pictures, representing ST Sebastian Reproving Diocletian and The Martyrdom of St Sebastian are located in the chancel. Painted architecture plays a preponderant role in these frescoes: a mock portico with columns, niches and windows frames them. They are treated like theatrical scenery",19034-lakenami.jpg,,,
St Stephen of Hungary,"CRANACH, Lucas the Elder",religious,1525,The medium-sized panel with the saintly king formed the left wing of an altar retable in several sections. It probably represents St Stephen (Istvn) of Hungary. King Stephen I (969-1038) is the Hungarian national hero whose missionary projects among the heathen Magyars completed the conversion of the country to Christianity,14906-early08.jpg,,,
St Wolfgang Altarpiece: Scenes from the Life of Christ,"PACHER, Michael",religious,1475,The picture shows the panels in the open state of the altarpiece,30774-6transf.jpg,,,
"Still-Life of Apples, Pears and Figs in a Wicker Basket on a Stone Ledge","PONCE, Antonio",still-life,1625,"The large dark vine leaves and fruit are back-lit and are sharply silhouetted against the luminous background, to quite dramatic effect. Ponce's use of this effect strongly indicates the indirect influence of Caravaggio's Basket of Fruit in the Pinacoteca Ambrosiana, Milan, almost 50 years after it was created",14906-early08.jpg,,,
Still-Life with Fruit and Crystal Vase,"AELST, Willem van",still-life,1675,"Intense colours characterize the still-lifes of Van Aelst, who worked for a time in France and Italy. In this painting, which was commissioned by Cardinal Giovan Carlo de' Medici, the intense blue of the table-cloth catches one's eye. The large crystal vase in the centre of the composition was probably in the possession of the Medici family. The painter placed his signature and the date on the hem of the white tablecloth: W.A.Aelst. 1652",21468-queen.jpg,,,
Sunshine,"CLAUS, Emile",landscape,1875,"As a result of their approach to Impressionism, Belgian artists occasionally juxtaposed native Flemish styles with imported Impressionist styles derived from the French. One of the major exponents of the more French-oriented line was Emile Claus, who painted in the style of Monet. Paintings such as Sunshine and A Corner of My Garden show how intensely he grappled with the phenomenon of light and different atmospheric conditions. His subjects, frequently landscapes, recall Monet",10300-06woman4.jpg,,,
Supper at Emmaus,JACOPO DA EMPOLI,religious,1575,The painter represented this subject in two paintings (in the Los Angeles County Museum of Art and in the Hermitage). These are half-figure compositions on a neutral dark background in which the figure of Christ is almost identical,00476-virgin_c.jpg,,,
The Abduction of Helen of Troy,LIBERALE da Verona,historical,1475,"This panel belonged to a cassone from which another panel with The Rape of Europa is in the Muse du Louvre, Paris.In Greek mythology, Helen of Troy, also known as Helen of Sparta, was the daughter of Zeus and Leda, and was a sister of Castor, Pollux, and Clytemnestra. In Greek myths, she was considered to be the most beautiful woman in the world. Her abduction by Paris brought about the Trojan War",23474-danishco.jpg,,,
The Adoration of the Magi,MASTER of the Holy Kinship,religious,1525,"This double-sided panel once formed the wing of a now lost altarpiece, with the Adoration of the Magi originally serving as the interior panel and the Throne of Grace as the exterior. Formerly, the panel was in the Metropolitan Museum of Art, New York. It was sold for the Acquisitions Fund in 2013.The style of this master and his workshop was greatly influenced by Flemish painters, in particular, Hugo van der Goes, whose Monforte Altarpiece may be seen as a direct inspiration for the individual figures in this work (particularly the second kneeling King in the Adoration). Furthermore, the picture is indicative of the influence which Rogier van der Weyden had on the group of Cologne painters working at the turn of the 16th century. Such influence on the present work can be seen in Rogier's Columba Altarpiece, which utilizes a similar spatial construction and figural arrangement found in the Adoration here",00476-virgin_c.jpg,,,
The Art Collection of Archduke Leopold Wilhelm in Brussels,"TENIERS, David the Younger",interior,1675,"The huge collection owned by Archduke Leopold Wilhelm of Austria (1614-1662), Governor of the Spanish Netherlands from 1646 to 1656, was dominated by 16th-century Italian painting but contained a fair proportion of contemporary Flemish works by Van Dyck, Rubens, and others. When he stepped down as governor, he took his collection back to Austria where it is now the nucleus of the collections of paintings in the Kunsthistorisches Museum in Vienna",00476-virgin_c.jpg,,,
The Burning Bush,"FROMENT, Nicolas",religious,1475,"This work of Froment's maturity, which is indeed an epitome of his whole oeuvre, was commissioned by King Ren of Provence. This central panel of the triptych represents Moses before the Burning Bush; the figures kneeling in prayer on the wing are the donor and his wife, Jeanne de Laval, accompanied by saints (not reproduced here). In this work the painter has abandoned the occasional crudities of The Raising of Lazarus; only in the countenance of Moses are there reminiscences of the more rigid portraiture of the earlier altarpiece. Moses is struck with astonishment at the vision before him and the appearance of the angel. The vision occupies the upper centre of the picture: amidst a great circle of flaming rose bushes the Madonna appears in a richly draped mantle, holding the Child. Christ holds a mirror in his hand, in which both of them are reflected. The picture contains a number of emblematical representations. The combination of a number of unusual elements side by side is characteristic of mediaeval symbolism. It is evidence of the extraordinary cult of the Virgin in the Middle Ages that it is she who appears before Moses, and not God, as in the Old Testament",14509-burning.jpg,,,
The Denial of St Peter,"MANFREDI, Bartolomeo",religious,1625,"Manfredi created a series of theatrically lit compositions in which bawdy figures crowd around a table gambling, drinking and making music. In his Denial of St Peter the tavern scene is transformed into a religious narrative in which the soldiers' game of dice is given more prominence than Peter's betrayal. The religious event is thus cast within the context of secular life",14509-burning.jpg,,,
The Finding of Moses,"POELENBURGH, Cornelis van",religious,1625,"A similar composition by the artist is in the Fitzwilliam Museum, Cambridge",19034-lakenami.jpg,,,
The Four Elements and Ages of Man: Water and Old Age,"LIEVENS, Jan",mythological,1625,This painting is part of a series of four representing the personification of the four elements and the four ages of man. The fourth painting of the series combines water with old age. Old Age is depicted as a fishmonger with pail and fish-tube.,14509-burning.jpg,,,
"The Garden in Winter, Rue Carcel","GAUGUIN, Paul",landscape,1875,"By 1883, and as a direct result of the collapse of the stock market the previous year, Gauguin's finances were in disarray, and he began to consider a change in career. This painting demonstrates an attempt to align himself with the landscape Impressionist painters, perhaps from a desire to make money from the sale of his works, and is in marked contrast to the more laboured works produced while he could still consider himself an amateur.The subject of a snowy landscape was a typical Impressionist device to enable the artist to study the effects of colour reflections on a white surface and was particularly favoured by Sisley. However, the handling in the sky and the foliage is more reminiscent of the work of Monet from this period. The spontaneity of the brushwork and the subject matter would suggest that the canvas was painted out of doors, but there is a small related sketch without the two foreground figures, probably done in front of the motif, which presumably forms the basis for this more finished, studio painting. This means that the two women were added later, and demonstrates that even at this date Gauguin did not feel tied to working solely from nature, and had already begun to use the subject of two conversing women which was to recur in his mature work",14906-early08.jpg,,,
The Ghent Altarpiece: Erythraean Sibyl,"EYCK, Jan van",religious,1425,The Erythraean and Cumaean Sibyls are related to the Annunciation through their prophecies. The text on the floating ribbon refers to Virgil. The Latin name of the Sibyl is indicated on the frame,19034-lakenami.jpg,,,
The Giudecca Canal with the Zattere,"GUARDI, Francesco",landscape,1775,This view is dominated by the great marble bulk of the Church of Gesuati built in the 18th century,38414-selfport.jpg,,,
The Kreuzkirche in Dresden,"BELLOTTO, Bernardo",landscape,1775,"A few years later, during his second stay in Saxony, Bellotto depicted the demolition of this Gothic church. There exists an almost identical version in The Hermitage, St. Petersburg.",07499-271y_ram.jpg,,,
The Queen of Sheba,"GLEYRE, Charles-Gabriel",mythological,1825,"Gleyre handled Oriental themes as well as his antique Neoclassical subjects. Numerous watercolours document his travels and depict ruined Egyptian temples. In adventurous compilations of oriental components he succeeded in intensifying the fairy-tale element into historic imaginative depictions, as in the Queen of Sheba, which is fantastic and theatrical in both colouring and scenery",00476-virgin_c.jpg,,,
The Transfiguration of Christ,"PERUGINO, Pietro",religious,1475,On the back wall the scene of The Transfiguration of Christ is depicted,30774-6transf.jpg,,,
The Virgin of the Dry Tree,"CHRISTUS, Petrus",religious,1475,"This small panel is a puzzling composition which conceals a complex symbolism. The painting is a late work by Christus, who from 1462 was a member of the Brotherhood of Our Lady of the Dry Tree. The dry and thorny branches could be a prefiguration of the Crown of Thorns, but the painting has also been interpreted as an early representation of the Immaculate Conception. The hanging letter A's symbolize fifteen Ave Marias",14906-early08.jpg,,,
The Wedding of Peleus and Thetis,CORNELIS VAN HAARLEM,mythological,1575,"The Haarlem government commissioned this painting to decorate a guesthouse for the Orange family and other dignitaries. The painting's reference to the beginnings of the Trojan War presented an impressive reminder that even trivial discord causes devastating wars. This was a topical message in Haarlem, which had suffered debilitating defeat in a Spanish siege of 1573. The work also showcased Haarlem's patronage of sophisticated international history painting.In this painting, depicting events leading up to the Trojan War, Cornelis van Haarlem represented the assembled gods as naked muscle-men and soft-skinned women, in endlessly varied poses. Their idealized, heroic bodies befit their immortality and the ominous event they witness. These figures were clearly based on drawings after the nude which Cornelis could have made in the small academy in Haarlem. His grand style would have reminded knowledgeable viewers of the history painting of the Italian Renaissance, specifically of Michelangelo and his followers, and of the praise for idealized nudity and difficult poses in sophisticated art theory",30774-6transf.jpg,,,
Tobias and the Angel,"GIAQUINTO, Corrado",religious,1725,"The story is recounted in the Book of Tobit. Tobias was sent by his father Tobit to Media to recover a sum of money he had hidden there earlier. Archangel Raphael, sent by God to help Tobit and his family, asked Tobit (who did not recognize the angel) whether he may escort his son on his journey and, in company with Tobias' faithful hound, they departed together. They reached the Tigris, where Tobias was attacked by a gigantic fish. The archangel ordered him to capture it and had him remove and conserve its gall, heart and liver. The innards proved to be a medicine which he can use to restore his father's sight",07499-271y_ram.jpg,,,
Tobias and the Fish,"GOZZOLI, Benozzo",religious,1475,"The eight saints standing in niches on the fronts and sides of the choir pillars are important elements in the design. The four saints in the lower register, Sebastian, Bartolus, Nicholas of Tolentino and Tobias, are each provided with a story related to their lives.The picture shows the story from the right-hand pillar related to Tobias",07499-271y_ram.jpg,,,
Underbrush with Tortoise and Crab,"PORPORA, Paolo",portrait,1675,"Along with Giuseppe Recco and Giovan Battista Ruoppolo, Paolo Porpora was one of the leading figures in Neapolitan still-life painting during the Baroque. In his first period in Naples he painted fish and kitchen still-lifes in great variety. In the late 1640s he moved to Rome and, after coming into contact with the Northern European masters Matthias Withoos and Otto Marseus van Schrieck, active in the city at that time, he began to produce his famous underbrush paintings. The painting in Nancy is one of the few examples of these works that remained",23474-danishco.jpg,,,
Valley of the Creuse (Sunlight Effect),"MONET, Claude",landscape,1875,"In the spring of 1889 Monet was the guest of the poet and composer Maurice Rollinat in Fresselines, in the valley of the Creuse between Orlans and Limoges. He painted 23 landscapes here, treating motifs in different versions. The present painting belongs to a group of eight compositions which differs only in the condition of light",14906-early08.jpg,,,
Vanitas with a Vase of Theriac,"STOSKOPFF, Sbastien",still-life,1625,This masterpiece of the Vanitas genre is signed on the table and dated on the flask containing a juice or a liquor made of lemon labelled in Latin 'Succucz limonum',38414-selfport.jpg,,,
"Venice: The Grand Canal, Looking North-East from Palazzo Balbi to the Rialto Bridge",CANALETTO,landscape,1725,"The view is taken from the Palazzo Foscari on the sharp bend in the Grand Canal, known as the Volta de Canal, roughly equidistant from its entrance onto the Bacino di San Marco and the Rialto Bridge. Looking North-East from there the whole of the longest straight stretch of the canal is visible, as far as the Rialto Bridge, part of which is shown in the far distance, with the roof and dome of the church of Santi Giovanni e Paolo beyond.",23474-danishco.jpg,,,
View of Haarlem,"WEISSENBRUCH, Jan Hendrik",landscape,1875,"For Weissenbruch and other artists of the Hague School, with their knowledge of Dutch 17th-century art and the Barbizon School, plain air painting became fundamental. Taking Daubigny's floating studio as their model, Weissenbruch and Roelofs regularly went out in boats. Weissenbruch's spacious Dutch scenes, such as View of Haarlem, contrast in their use of bolder and broader brushwork. In their own specific lyrical way, drawing foremost on the colourist juxtaposition of silvery blues and greens with warmer shades, Weissenbruch paintings nicely captured the moist atmosphere that lies upon Dutch landscapes",14906-early08.jpg,,,
"View of Keswick, in the Lake District, Cumberland","GLOVER, John",landscape,1825,"Glover had a house at Blowick Farm near Patterdale, at the foot of Ullswater Lake, and spent much of his time in the Lake District. He was so fond of the region that, when in Tasmania, where he settled from 1831, he reminiscently named his house Patterdale",23474-danishco.jpg,,,
View of Lake Nemi,"HACKERT, Jacob Philipp",landscape,1775,"This signed and dated painting provides a view of the Lake Nemi from the north, with the town of Nemi and the town of Genzano beyond, with a donkey and travellers on a path in the foreground.Similar views of the Lake Nemi were painted by other 18th-century painters such as Claude-Joseph Vernet, John Robert Cozens, Joseph Wright, Solomon Delane, and  Nicolas-Didier Boguet",19034-lakenami.jpg,,,
View of the Giudecca Canal,"RICHTER, Johan",landscape,1725,The most original paintings by the Swedish artist depict the Venetian lagoons enlivened by boats. The architecture is represented down to the smallest detail. He frequently used the 'camera obscura' like in the case of this painting.,14509-burning.jpg,,,
Virgin and Child,"AMIGONI, Jacopo",religious,1725,Amigoni treated this subject about fifteen times during his career. It is difficult to reconstruct a chronological classification of these pieces,00476-virgin_c.jpg,,,
Virgin and Child Enthroned with Saints (Sacra Conversazione),"VIVARINI, Alvise",religious,1475,"The heavy plasticity of Bartolomeo Vivarini and Andrea da Murano was soon surpassed by the more balanced and harmonious three-dimensional quality of the works of Antonello da Messina. His St Cassiano altarpiece of 1476, fragments of which are now in the Kunsthistorisches Museum in Vienna was studied and admired by a whole generation of painters. One of the first to be inspired by it was Alvise Vivarini, son of Antonio and follower of his uncle Bartolomeo, who soon went on to become a major exponent of Antonello's theories of crystalline form and colour. His major work coming from the first and much-admired studio of Messina is the Sacra Conversazione dated 1480, originally in the church of San Francesco in Treviso.The painting is composed with geometrical symmetry: the two groups of saints, Louis of Toulouse, Anthony of Padua and Anne on the left and Joachim, Bernardino and Francesco Gioacchino on the right, face inwards towards the enthroned Virgin. In their gestures immobilized by the cold light which comes from the top left-hand corner, the three-dimensional figures appear to form a kind of architecture the centre of which is the throne, a construction of cylinders and parallelepipeds, behind which the curtain falls heavily excluding from sight all natural elements apart from two small fragments of a cold, clouded sky. Shadows appear to cut into the floor, confirmation of the geometrical relationship between space and figures, while the clear line delineates areas of pure enamel-like colour. This theory of formal abstraction was to become during the last few years of the 15th century still more monumental, in contrast to the ideas of colourization and sublime naturalness represented by Giovanni Bellini.Recent examination has revealed that the green curtain in the background was added at a later date. The panel is signed and dated on the dais of the throne",14906-early08.jpg,,,
Vision of St Augustine,"BOTTICELLI, Sandro",religious,1475,"The picture shows the second predella panel of the St Barnaba Altarpiece.According to a legend, St Augustine the bishop, while he was thinking about the Holy Trinity, met a child on the beach who was attempting to use a spoon to transfer the waters of the ocean into a small hole. When Augustine explained to him that this was not possible, the child replied that it was far more foolish to try to find an explanation for the mystery of the Trinity",21468-queen.jpg,,,
Visit of St Anthony to St Paul and Temptation of St Anthony,"GRNEWALD, Matthias",religious,1525,The picture shows the left and right wings of the third view of the Isenheim Altarpiece,30774-6transf.jpg,,,
Votive pictures,"SALIMBENI, Lorenzo",religious,1425,"The lower register of the east wall includes several votive pictures, separately framed but also painted on the wall, that must have been executed at roughly the same time as the cycle. The two pictures of the Madonna, the Madonna dell'Umilt&#224; and Madonna with Saints, are also attributed to the Salimbeni brothers for stylistic reasons. These paintings flank a niche, producing the effect of a triptych",30774-6transf.jpg,,,
"Woman with a Water Pitcher, and a Man by a Bed","HOOCH, Pieter de",genre,1675,"This painting is one of De Hooch's variations on an amorous theme. The motif of pulling on a stocking and that of a dog nosing about were both recognized in De Hooch's day as sexual innuendos when the context supported such readings.The painting is a fragment of a broader canvas, it has lost about 17 cm on the right",14509-burning.jpg,,,
